8,8,1,1
8,8,0,2
8,8,0,1
7,7,0,2
7,7,0,1
7,7,0,0
6,6,0,0
6,6,0,0
6,6,1,0
5,5,1,1
5,5,2,1
5,5,1,1
4,4,0,0
4,4,1,0
4,4,2,0
3,3,3,0
3,3,4,1
3,3,5,0
4,2,6,0
4,2,7,1
4,2,8,0
5,1,9,0
5,1,10,0
5,1,9,0
6,0,10,0
6,0,10,0
6,0,9,1
7,1,8,1
7,1,9,0
7,1,9,1
8,1,10,0
8,1,9,1
8,1,10,2
9,2,10,3
9,2,9,4
9,2,10,5
10,3,9,6
10,3,8,5
10,3,7,5
9,4,6,5
9,4,5,6
9,4,4,6
8,5,5,5
8,5,4,5
8,5,4,6
7,6,4,5
7,6,4,6
7,6,3,6
6,6,2,7
6,6,1,7
6,6,0,8
5,7,0,8
5,7,1,8
5,7,1,9
4,8,0,9
4,8,1,10
4,8,2,10
3,9,1,9
3,9,0,9
3,9,0,9
2,9,0,9
2,9,1,8
2,9,0,8
1,8,1,7
1,8,1,6
1,8,2,5
2,7,3,4
2,7,2,4
2,7,1,3
1,6,2,4
1,6,1,5
1,6,2,4
2,5,3,3
2,5,4,4
2,5,5,3
3,4,6,2
3,4,5,3
3,4,6,2
4,3,7,1
4,3,6,0
4,3,7,0
5,2,6,0
5,2,7,0
5,2,8,0
6,1,9,0
6,1,10,0
6,1,10,0
7,0,10,0
7,0,10,0
7,0,10,0
8,0,10,0
8,0,10,1
8,0,10,1
9,1,10,1
9,1,10,2
9,1,10,3
10,2,10,3
10,2,10,4
10,2,9,4
9,3,10,5
